ModelNo=C11351,,,,,
SerialNo=413V0030,,,,,
Date=5/20/2014 2:26:54 PM,,,,,
ExposureTime=100,,,,,
Gain=0,,,,,
WavelengthConversionFactorA0=+3.238245829e+002,,,,,
WavelengthConversionFactorB1=+1.884467713e+000,,,,,
WavelengthConversionFactorB2=-3.994129814e-005,,,,,
WavelengthConversionFactorB3=-2.429664474e-006,,,,,
WavelengthConversionFactorB4=-1.357312974e-009,,,,,
WavelengthConversionFactorB5=+7.725372773e-012,,,,,
AverageCount=1,,,,,
DataNum=1,,,,,
WaveLength,Average,1,,,
539.7841963,57348,57348,,539.7841963,47886
541.5571989,55808,55808,,541.5571989,46346
543.3284285,49244,49244,,543.3284285,39782
545.0978731,39302,39302,,545.0978731,29840
546.865521,29154,29154,,546.865521,19692
548.6313603,22415,22415,,548.6313603,12953
550.3953793,18127,18127,,550.3953793,8665
552.1575665,15026,15026,,552.1575665,5564
553.9179102,12760,12760,,553.9179102,3298
555.6763992,11423,11423,,555.6763992,1961
557.4330219,10798,10798,,557.4330219,1336
559.1877671,10469,10469,,559.1877671,1007
560.9406236,10361,10361,,560.9406236,899
562.6915803,10382,10382,,562.6915803,920
564.4406262,10617,10617,,564.4406262,1155
566.1877504,11251,11251,,566.1877504,1789
567.9329419,12295,12295,,567.9329419,2833
569.6761901,13826,13826,,569.6761901,4364
571.4174842,15585,15585,,571.4174842,6123
573.1568138,17665,17665,,573.1568138,8203
574.8941682,19755,19755,,574.8941682,10293
576.6295372,21778,21778,,576.6295372,12316
578.3629104,23427,23427,,578.3629104,13965
580.0942777,24098,24098,,580.0942777,14636
581.8236289,24196,24196,,581.8236289,14734
583.550954,23856,23856,,583.550954,14394
585.2762432,22702,22702,,585.2762432,13240
586.9994866,21299,21299,,586.9994866,11837
588.7206744,19823,19823,,588.7206744,10361
590.4397972,18455,18455,,590.4397972,8993
592.1568454,17372,17372,,592.1568454,7910
593.8718096,16496,16496,,593.8718096,7034
595.5846805,16213,16213,,595.5846805,6751
597.2954488,17276,17276,,597.2954488,7814
599.0041056,20896,20896,,599.0041056,11434
600.7106419,29633,29633,,600.7106419,20171
602.4150487,40264,40264,,602.4150487,30802
604.1173173,46781,46781,,604.1173173,37319
605.817439,50644,50644,,605.817439,41182
607.5154053,52472,52472,,607.5154053,43010
609.2112078,52821,52821,,609.2112078,43359
610.9048381,50729,50729,,610.9048381,41267
612.596288,42840,42840,,612.596288,33378
614.2855495,33200,33200,,614.2855495,23738
615.9726145,27246,27246,,615.9726145,17784
617.6574752,23723,23723,,617.6574752,14261
619.3401238,22002,22002,,619.3401238,12540
621.0205527,21217,21217,,621.0205527,11755
