ModelNo=C11351
SerialNo=413V0030
Date=5/21/2014 2:06:55 PM
ExposureTime=100
Gain=0
WavelengthConversionFactorA0=+3.238245829e+002
WavelengthConversionFactorB1=+1.884467713e+000
WavelengthConversionFactorB2=-3.994129814e-005
WavelengthConversionFactorB3=-2.429664474e-006
WavelengthConversionFactorB4=-1.357312974e-009
WavelengthConversionFactorB5=+7.725372773e-012
AverageCount=1
DataNum=1
WaveLength,Average,1
588.720674436167,11136,11136
590.439797221135,10926,10926
592.156845404407,10762,10762
593.871809584031,10638,10638
595.584680461757,10723,10723
597.295448843962,11136,11136
599.004105642577,12376,12376
600.710641876014,14026,14026
602.415048670093,15437,15437
604.117317258969,16381,16381
605.817438986061,16889,16889
607.515405304976,17044,17044
609.211207780438,16737,16737
610.904838089213,15530,15530
612.59628802104,13992,13992
614.285549479554,12811,12811
615.972614483214,12116,12116
617.657475166232,11747,11747
619.340123779499,11579,11579
621.020552691509,11434,11434
622.698754389293,11222,11222
624.374721479338,11019,11019
626.04844668852,10798,10798
627.719922865029,10584,10584
629.389142979293,10374,10374
631.056100124913,10090,10090
632.72078751958,9887,9887
634.383198506011,9793,9793
636.04332655287,9757,9757
637.701165255698,9744,9744
639.356708337838,9785,9785
641.009949651365,9812,9812
642.660883178011,9825,9825
644.309503030091,9820,9820
645.955803451433,9812,9812
647.599778818303,9791,9791
649.241423640331,9766,9766
650.880732561442,9730,9730
652.517700360779,9708,9708
654.152321953632,9669,9669
655.784592392365,9676,9676
657.414506867342,9668,9668
659.042060707855,9680,9680
660.667249383051,9664,9664
662.29006850286,9647,9647
663.910513818919,9621,9621
665.528581225501,9613,9613
667.144266760443,9593,9593
668.757566606073,9608,9608
670.368477090133,9596,9596
671.976994686712,9591,9591
673.583116017169,9604,9604
675.186837851061,9613,9613
676.78815710707,9600,9600
678.387070853932,9625,9625
679.98357631136,9611,9611
681.577670850976,9646,9646
683.169351997232,9637,9637
684.758617428345,9633,9633
686.345464977215,9609,9609
687.92989263236,9588,9588
689.511898538837,9573,9573
691.091480999173,9565,9565
692.668638474291,9571,9571
694.243369584437,9596,9596
695.815673110105,9679,9679
697.385547992968,9758,9758
698.9529933368,9856,9856
700.518008408409,9955,9955
702.08059263856,10008,10008
703.640745622903,10020,10020
705.198467122898,9992,9992
706.753757066748,9912,9912
708.306615550319,9815,9815
709.857042838071,9722,9722
711.405039363985,9622,9622
712.950605732488,9556,9556
714.493742719384,9490,9490
716.034451272775,9473,9473
717.572732513993,9449,9449
719.108587738525,9432,9432
720.642018416942,9436,9436
722.173026195823,9439,9439
723.701612898683,9429,9429
725.227780526903,9431,9431
726.751531260653,9429,9429
728.272867459822,9438,9438
729.791791664941,9422,9422
731.308306598115,9442,9442
732.822415163949,9455,9455
734.334120450471,9447,9447
735.843425730065,9450,9450
737.350334460392,9441,9441
738.854850285322,9403,9403
740.356977035858,9443,9443
741.856718731065,9432,9432
743.354079578997,9457,9457
744.849063977621,9434,9434
746.341676515747,9447,9447
747.831921973955,9426,9426
749.319805325522,9441,9441
750.805331737347,9431,9431
752.288506570879,9448,9448
753.769335383047,9432,9432
755.247823927181,9441,9441
756.723978153945,9440,9440
758.197804212263,9456,9456
759.66930845024,9423,9423
761.138497416099,9449,9449
762.605377859098,9442,9442
764.069956730466,9451,9451
765.532241184324,9445,9445

