ModelNo=C11351
SerialNo=413V0030
Date=5/27/2014 1:53:57 PM
ExposureTime=100
Gain=0
WavelengthConversionFactorA0=+3.238245829e+002
WavelengthConversionFactorB1=+1.884467713e+000
WavelengthConversionFactorB2=-3.994129814e-005
WavelengthConversionFactorB3=-2.429664474e-006
WavelengthConversionFactorB4=-1.357312974e-009
WavelengthConversionFactorB5=+7.725372773e-012
AverageCount=1
DataNum=1
WaveLength,Average,1
581.823628895922,51327,51327
583.550954026618,50639,50639
585.27624318188,49943,49943
586.999486554225,49430,49430
588.720674436167,49094,49094
590.439797221135,49017,49017
592.156845404407,49154,49154
593.871809584031,49190,49190
595.584680461757,49099,49099
597.295448843962,49102,49102
599.004105642577,49034,49034
600.710641876014,48938,48938
602.415048670093,48794,48794
604.117317258969,48612,48612
605.817438986061,48381,48381
607.515405304976,48133,48133
609.211207780438,47988,47988
610.904838089213,47895,47895
612.59628802104,47873,47873
614.285549479554,47786,47786
615.972614483214,47732,47732
617.657475166232,47633,47633
619.340123779499,47567,47567
621.020552691509,47408,47408
622.698754389293,47326,47326
624.374721479338,47421,47421
626.04844668852,47421,47421
627.719922865029,47471,47471
629.389142979293,47501,47501
631.056100124913,47485,47485
632.72078751958,47405,47405
634.383198506011,47270,47270
636.04332655287,46997,46997
637.701165255698,46591,46591
639.356708337838,46057,46057
641.009949651365,45522,45522
642.660883178011,45030,45030
644.309503030091,44517,44517
645.955803451433,43906,43906
647.599778818303,43288,43288
649.241423640331,42917,42917
650.880732561442,42708,42708
652.517700360779,42559,42559
654.152321953632,42449,42449
655.784592392365,42397,42397
657.414506867342,42389,42389
659.042060707855,42449,42449
660.667249383051,42376,42376
662.29006850286,42201,42201
663.910513818919,42062,42062
665.528581225501,41918,41918
667.144266760443,41754,41754
668.757566606073,41628,41628
670.368477090133,41514,41514
671.976994686712,41411,41411
673.583116017169,41362,41362
675.186837851061,41209,41209
676.78815710707,40780,40780
678.387070853932,40243,40243
679.98357631136,39744,39744
681.577670850976,39402,39402
683.169351997232,39151,39151
684.758617428345,38982,38982
686.345464977215,38982,38982
687.92989263236,39208,39208
689.511898538837,39609,39609
691.091480999173,40046,40046
692.668638474291,40469,40469
694.243369584437,40983,40983
695.815673110105,41531,41531
697.385547992968,42088,42088
698.9529933368,42531,42531
700.518008408409,42964,42964
702.08059263856,43399,43399
703.640745622903,43738,43738
705.198467122898,43896,43896
706.753757066748,43661,43661
708.306615550319,42947,42947
709.857042838071,42100,42100
711.405039363985,41183,41183
712.950605732488,40438,40438
714.493742719384,39725,39725
716.034451272775,39059,39059
717.572732513993,38668,38668
719.108587738525,38616,38616
720.642018416942,38953,38953
722.173026195823,39536,39536
723.701612898683,40205,40205
725.227780526903,41020,41020
726.751531260653,42003,42003
728.272867459822,43065,43065
729.791791664941,44154,44154
731.308306598115,45309,45309
732.822415163949,46322,46322
734.334120450471,47283,47283
735.843425730065,48042,48042
737.350334460392,48667,48667
738.854850285322,49201,49201
740.356977035858,49618,49618
741.856718731065,49919,49919
743.354079578997,50094,50094
744.849063977621,50115,50115
746.341676515747,49863,49863
747.831921973955,49252,49252
749.319805325522,48167,48167
750.805331737347,46478,46478
752.288506570879,44384,44384
753.769335383047,42217,42217
755.247823927181,40279,40279
756.723978153945,38767,38767
758.197804212263,37865,37865
759.66930845024,37563,37563
761.138497416099,37966,37966
762.605377859098,39049,39049
764.069956730466,40633,40633
765.532241184324,42306,42306

