780.776	11
781.609	11
782.442	17
783.274	15
784.107	11
784.94	11
785.773	16
786.605	18
787.438	18
788.271	16
789.104	10
789.936	12
790.769	20
791.602	24
792.435	16
793.267	5
794.1	15
794.933	23
795.766	16
796.598	18
797.431	18
798.264	18
799.096	19
799.929	17
800.762	17
801.595	13
802.427	10
803.26	21
804.093	18
804.926	12
805.758	13
806.591	14
807.424	15
808.257	12
809.089	10
809.922	11
810.755	17
811.588	14
812.42	16
813.253	20
814.086	19
814.919	21
815.751	23
816.584	29
817.417	24
818.25	21
819.082	20
819.915	15
820.748	17
821.581	15
822.413	16
823.246	14
824.079	20
824.912	20
825.744	20
826.577	28
827.41	28
828.243	25
829.075	27
829.908	23
830.741	24
831.573	26
832.406	21
833.239	22
834.072	22
834.904	16
835.737	20
836.57	21
837.403	19
838.235	24
839.068	25
839.901	27
840.734	26
841.566	27
842.399	26
843.232	27
844.065	27
844.897	29
845.73	33
846.563	36
847.396	30
848.228	28
849.061	36
849.894	38
850.727	33
851.559	38
852.392	34
853.225	37
854.058	35
854.89	39
855.723	36
856.556	35
857.389	35
858.221	33
859.054	45
859.887	56
860.719	55
861.552	62
862.385	57
863.218	46
864.05	56
864.883	57
865.716	54
866.549	56
867.381	55
868.214	58
869.047	64
869.88	64
870.712	64
871.545	69
872.378	65
873.211	70
874.043	77
874.876	69
875.709	66
876.542	70
877.374	73
878.207	74
879.04	77
879.873	89
880.705	79
881.538	75
882.371	77
883.204	80
884.036	78
884.869	75
885.702	73
886.535	71
887.367	69
888.2	68
889.033	71
889.866	70
890.698	74
891.531	68
892.364	76
893.196	85
894.029	73
894.862	64
895.695	70
896.527	62
897.36	73
898.193	78
899.026	65
899.858	58
900.691	65
901.524	72
902.357	61
903.189	54
904.022	54
904.855	54
905.688	57
906.52	57
907.353	60
908.186	62
909.019	62
909.851	67
910.684	64
911.517	49
912.35	51
913.182	57
914.015	51
914.848	48
915.681	48
916.513	51
917.346	50
918.179	51
919.012	54
919.844	55
920.677	53
921.51	52
922.342	48
923.175	46
924.008	52
